Date,Price
Thu Jan 27 00:40:00 UTC 2022,37014.5
Thu Jan 27 00:50:00 UTC 2022,37007.5
Thu Jan 27 01:00:00 UTC 2022,36982.0
Thu Jan 27 01:10:00 UTC 2022,36850.5
Thu Jan 27 01:20:00 UTC 2022,36666.0
Thu Jan 27 01:30:00 UTC 2022,36665.5
Thu Jan 27 01:40:00 UTC 2022,36130.0
Thu Jan 27 01:50:00 UTC 2022,36096.5
Thu Jan 27 02:00:00 UTC 2022,35869.0
Thu Jan 27 02:10:00 UTC 2022,35828.5
Thu Jan 27 02:20:00 UTC 2022,35931.0
Thu Jan 27 02:30:00 UTC 2022,35839.5
Thu Jan 27 02:40:00 UTC 2022,35800.5
Thu Jan 27 02:50:00 UTC 2022,35990.0
Thu Jan 27 03:00:00 UTC 2022,35986.0
Thu Jan 27 03:10:00 UTC 2022,36200.0
Thu Jan 27 03:20:00 UTC 2022,36159.5
Thu Jan 27 03:30:00 UTC 2022,36179.0
Thu Jan 27 03:40:00 UTC 2022,36012.0
Thu Jan 27 03:50:00 UTC 2022,35508.0
Thu Jan 27 04:00:00 UTC 2022,35738.5
Thu Jan 27 04:10:00 UTC 2022,35849.5
Thu Jan 27 04:20:00 UTC 2022,35897.0
Thu Jan 27 04:30:00 UTC 2022,35788.0
Thu Jan 27 04:40:00 UTC 2022,35859.5
Thu Jan 27 04:50:00 UTC 2022,35894.0
Thu Jan 27 05:00:00 UTC 2022,35930.0
Thu Jan 27 05:10:00 UTC 2022,35925.0
Thu Jan 27 05:20:00 UTC 2022,35975.0
Thu Jan 27 05:30:00 UTC 2022,35990.0
Thu Jan 27 05:40:00 UTC 2022,35932.0
Thu Jan 27 05:50:00 UTC 2022,35996.5
Thu Jan 27 06:00:00 UTC 2022,35983.5
Thu Jan 27 06:10:00 UTC 2022,35911.5
Thu Jan 27 06:20:00 UTC 2022,35958.5
Thu Jan 27 06:30:00 UTC 2022,35930.0
Thu Jan 27 06:40:00 UTC 2022,36071.0
Thu Jan 27 06:50:00 UTC 2022,36077.0
Thu Jan 27 07:00:00 UTC 2022,36114.0
Thu Jan 27 07:10:00 UTC 2022,36056.5
Thu Jan 27 07:20:00 UTC 2022,36181.0
Thu Jan 27 07:30:00 UTC 2022,36224.5
Thu Jan 27 07:40:00 UTC 2022,36184.5
Thu Jan 27 07:50:00 UTC 2022,36162.0
Thu Jan 27 08:00:00 UTC 2022,36165.5
Thu Jan 27 08:10:00 UTC 2022,36127.5
Thu Jan 27 08:20:00 UTC 2022,36149.5
Thu Jan 27 08:30:00 UTC 2022,36139.0
Thu Jan 27 08:40:00 UTC 2022,36021.0
Thu Jan 27 08:50:00 UTC 2022,36311.5
Thu Jan 27 09:00:00 UTC 2022,36439.5
Thu Jan 27 09:10:00 UTC 2022,36355.0
Thu Jan 27 09:20:00 UTC 2022,36484.5
Thu Jan 27 09:30:00 UTC 2022,36550.0
Thu Jan 27 09:40:00 UTC 2022,36529.5
Thu Jan 27 09:50:00 UTC 2022,36580.0
Thu Jan 27 10:00:00 UTC 2022,36520.0
Thu Jan 27 10:10:00 UTC 2022,36642.5
Thu Jan 27 10:20:00 UTC 2022,36583.0
Thu Jan 27 10:30:00 UTC 2022,36554.5
Thu Jan 27 10:40:00 UTC 2022,36499.5
Thu Jan 27 10:50:00 UTC 2022,36449.5
Thu Jan 27 11:00:00 UTC 2022,36334.5
Thu Jan 27 11:10:00 UTC 2022,36421.5
Thu Jan 27 11:20:00 UTC 2022,36436.0
Thu Jan 27 11:30:00 UTC 2022,36614.0
Thu Jan 27 11:40:00 UTC 2022,36648.5
Thu Jan 27 11:50:00 UTC 2022,36653.5
Thu Jan 27 12:00:00 UTC 2022,36698.0
Thu Jan 27 12:10:00 UTC 2022,36660.5
Thu Jan 27 12:20:00 UTC 2022,36683.5
Thu Jan 27 12:30:00 UTC 2022,36629.5
Thu Jan 27 12:40:00 UTC 2022,36578.0
Thu Jan 27 12:50:00 UTC 2022,36644.5
Thu Jan 27 13:00:00 UTC 2022,36700.5
Thu Jan 27 13:10:00 UTC 2022,36823.0
Thu Jan 27 13:20:00 UTC 2022,36795.5
Thu Jan 27 13:30:00 UTC 2022,36719.5
Thu Jan 27 13:40:00 UTC 2022,36605.0
Thu Jan 27 13:50:00 UTC 2022,36830.5
Thu Jan 27 14:00:00 UTC 2022,36830.0
Thu Jan 27 14:10:00 UTC 2022,36816.0
Thu Jan 27 14:20:00 UTC 2022,36968.5
Thu Jan 27 14:30:00 UTC 2022,36915.5
Thu Jan 27 14:40:00 UTC 2022,36831.5
