Date,BTC,ETH,,XXXX
Thu Jun 03 05:30:00 UTC 2021,38274.5,2781.2,,
Thu Jun 03 05:40:00 UTC 2021,38596.5,2801.3,,
Thu Jun 03 05:50:00 UTC 2021,38699.5,2815.95,,
Thu Jun 03 06:00:00 UTC 2021,38790.5,2818.1,,
Thu Jun 03 06:10:00 UTC 2021,38721.5,2813.05,,
Thu Jun 03 06:20:00 UTC 2021,38649.5,2801.5,,
Thu Jun 03 06:30:00 UTC 2021,38745.5,2813.85,,
Thu Jun 03 06:40:00 UTC 2021,38796,2824.95,,
Thu Jun 03 06:50:00 UTC 2021,38811.5,2840.05,,
Thu Jun 03 07:00:00 UTC 2021,38907.5,2847.15,,
Thu Jun 03 07:10:00 UTC 2021,38790.5,2837.9,,
Thu Jun 03 07:20:00 UTC 2021,38681.5,2829.7,,
Thu Jun 03 07:30:00 UTC 2021,38576,2817.75,,
Thu Jun 03 07:40:00 UTC 2021,38672.5,2826.15,,
Thu Jun 03 07:50:00 UTC 2021,38617.5,2825.85,,
Thu Jun 03 08:00:00 UTC 2021,38602,2820.6,,
Thu Jun 03 08:10:00 UTC 2021,38734.5,2829.85,,
Thu Jun 03 08:20:00 UTC 2021,38773,2831.25,,
Thu Jun 03 08:30:00 UTC 2021,38829.5,2841.6,,
Thu Jun 03 08:40:00 UTC 2021,38808,2847.9,,
Thu Jun 03 08:50:00 UTC 2021,38702,2830.05,,
Thu Jun 03 09:00:00 UTC 2021,38784.5,2836.15,,
Thu Jun 03 09:10:00 UTC 2021,38894,2837.2,,
Thu Jun 03 09:20:00 UTC 2021,39056.5,2852.4,,
Thu Jun 03 09:30:00 UTC 2021,39000.5,2852.45,,
Thu Jun 03 09:40:00 UTC 2021,39105,2859.05,,
Thu Jun 03 09:50:00 UTC 2021,39058.5,2858.15,,
Thu Jun 03 10:00:00 UTC 2021,39089.5,2873.75,,
Thu Jun 03 10:10:00 UTC 2021,39263.5,2885.45,,
Thu Jun 03 10:20:00 UTC 2021,39367,2886.7,,
Thu Jun 03 10:30:00 UTC 2021,39380.5,2879.75,,
Thu Jun 03 10:40:00 UTC 2021,39323,2868.35,,
Thu Jun 03 10:50:00 UTC 2021,39350,2873.5,,
Thu Jun 03 11:00:00 UTC 2021,39275,2874.35,,
Thu Jun 03 11:10:00 UTC 2021,38937,2836.35,,
Thu Jun 03 11:20:00 UTC 2021,38963.5,2834.8,,
Thu Jun 03 11:30:00 UTC 2021,38889,2829.3,,
Thu Jun 03 11:40:00 UTC 2021,39019.5,2843.2,,
Thu Jun 03 11:50:00 UTC 2021,38950.5,2826.7,,
Thu Jun 03 12:00:00 UTC 2021,38780.5,2807.9,,
Thu Jun 03 12:10:00 UTC 2021,38699,2790.05,,
Thu Jun 03 12:20:00 UTC 2021,38737.5,2798,,
Thu Jun 03 12:30:00 UTC 2021,38719.5,2796.75,,
Thu Jun 03 12:40:00 UTC 2021,38912.5,2819.85,,
Thu Jun 03 12:50:00 UTC 2021,39032,2827.75,,
Thu Jun 03 13:00:00 UTC 2021,39016.5,2830,,
Thu Jun 03 13:10:00 UTC 2021,39175.5,2839.5,,
Thu Jun 03 13:20:00 UTC 2021,38796.5,2807.25,,
Thu Jun 03 13:30:00 UTC 2021,38861.5,2810.95,,
Thu Jun 03 13:40:00 UTC 2021,38622,2791.7,,
Thu Jun 03 13:50:00 UTC 2021,38364.5,2776,,
Thu Jun 03 14:00:00 UTC 2021,38459.5,2780.9,,
Thu Jun 03 14:10:00 UTC 2021,38601,2793.7,,
Thu Jun 03 14:20:00 UTC 2021,38422.5,2777.8,,
Thu Jun 03 14:30:00 UTC 2021,38394.5,2774.8,,
Thu Jun 03 14:40:00 UTC 2021,38498.5,2787.65,,
Thu Jun 03 14:50:00 UTC 2021,38530.5,2787.95,,
Thu Jun 03 15:00:00 UTC 2021,38586,2791.75,,
Thu Jun 03 15:10:00 UTC 2021,38644.5,2807.5,,
Thu Jun 03 15:20:00 UTC 2021,38527,2788.1,,
Thu Jun 03 15:30:00 UTC 2021,38499,2790.65,,
Thu Jun 03 15:40:00 UTC 2021,38620.5,2804.25,,
Thu Jun 03 15:50:00 UTC 2021,38512,2791.6,,
Thu Jun 03 16:00:00 UTC 2021,38537,2790.3,,
Thu Jun 03 16:10:00 UTC 2021,38507,2789.95,,
Thu Jun 03 16:20:00 UTC 2021,38724.5,2807.4,,
Thu Jun 03 16:30:00 UTC 2021,38770.5,2811.9,,
Thu Jun 03 16:40:00 UTC 2021,38908.5,2837.4,,
Thu Jun 03 16:50:00 UTC 2021,38791.5,2829.8,,
Thu Jun 03 17:00:00 UTC 2021,38865.5,2833.75,,
Thu Jun 03 17:10:00 UTC 2021,38815,2831.15,,
Thu Jun 03 17:20:01 UTC 2021,38836.5,2835.35,,
Thu Jun 03 17:30:00 UTC 2021,38941,2849.4,,
Thu Jun 03 17:40:00 UTC 2021,38845.5,2835,,
Thu Jun 03 17:50:00 UTC 2021,38811.5,2827,,
Thu Jun 03 18:00:00 UTC 2021,38806.5,2822.95,,
Thu Jun 03 18:10:00 UTC 2021,38875.5,2829.4,,
Thu Jun 03 18:20:00 UTC 2021,38741.5,2818.45,,
Thu Jun 03 18:30:00 UTC 2021,38692,2810.5,,
Thu Jun 03 18:40:00 UTC 2021,38592.5,2793.25,,
Thu Jun 03 18:50:00 UTC 2021,38650.5,2795.4,,
Thu Jun 03 19:00:00 UTC 2021,38575.5,2790.05,,
Thu Jun 03 19:10:00 UTC 2021,38518.5,2786,,
Thu Jun 03 19:20:00 UTC 2021,38637.5,2803.05,,
Thu Jun 03 19:30:00 UTC 2021,38612,2800.05,,
Thu Jun 03 19:40:00 UTC 2021,38641,2800.7,,
Thu Jun 03 19:50:00 UTC 2021,38562.5,2792.2,,
Thu Jun 03 20:00:00 UTC 2021,38602.5,2793.15,,
Thu Jun 03 20:10:00 UTC 2021,38689,2806.45,,
Thu Jun 03 20:20:00 UTC 2021,38633.5,2801.15,,
Thu Jun 03 20:30:00 UTC 2021,38714,2806.85,,
Thu Jun 03 20:40:00 UTC 2021,38568,2799.05,,
Thu Jun 03 20:50:00 UTC 2021,38557,2804.5,,
Thu Jun 03 21:00:00 UTC 2021,38675.5,2821.65,,
Thu Jun 03 21:10:00 UTC 2021,38909,2843.4,,
Thu Jun 03 21:20:00 UTC 2021,38823.5,2837.2,,
Thu Jun 03 21:30:00 UTC 2021,38792.5,2827.4,,
Thu Jun 03 21:40:00 UTC 2021,38788.5,2816.6,,
Thu Jun 03 21:50:00 UTC 2021,38781,2825.4,,
Thu Jun 03 22:00:00 UTC 2021,38753.5,2821.55,,
Thu Jun 03 22:10:00 UTC 2021,38870,2837.4,,
Thu Jun 03 22:20:00 UTC 2021,39004.5,2844.05,,
Thu Jun 03 22:30:00 UTC 2021,38931.5,2833.95,,
Thu Jun 03 22:40:00 UTC 2021,38937,2839.7,,
Thu Jun 03 22:50:00 UTC 2021,38975.5,2849.3,,
Thu Jun 03 23:00:00 UTC 2021,38900,2834.65,,
Thu Jun 03 23:10:00 UTC 2021,39034.5,2844.9,,
Thu Jun 03 23:20:00 UTC 2021,39141.5,2859.55,,
Thu Jun 03 23:30:00 UTC 2021,39072.5,2857.25,,
Thu Jun 03 23:40:00 UTC 2021,39207.5,2868.75,,
Thu Jun 03 23:50:00 UTC 2021,39149.5,2859.95,,
Fri Jun 04 00:00:00 UTC 2021,39226,2857,,
Fri Jun 04 00:10:00 UTC 2021,38906.5,2821.95,,
Fri Jun 04 00:20:00 UTC 2021,38861,2822.75,,
Fri Jun 04 00:30:00 UTC 2021,38770,2814.4,,
Fri Jun 04 00:40:00 UTC 2021,38720.5,2803.95,,
Fri Jun 04 00:50:00 UTC 2021,38736.5,2807.7,,
Fri Jun 04 01:00:00 UTC 2021,38687,2809.75,,
Fri Jun 04 01:10:00 UTC 2021,38544,2799.45,,
Fri Jun 04 01:20:00 UTC 2021,37828,2719.7,,
Fri Jun 04 01:30:00 UTC 2021,37862.5,2728.45,,
Fri Jun 04 01:40:00 UTC 2021,37951.5,2739.9,,
Fri Jun 04 01:50:00 UTC 2021,37800.5,2723,,
Fri Jun 04 02:00:00 UTC 2021,37900,2736.45,,
Fri Jun 04 02:10:00 UTC 2021,37756.5,2711.15,,
Fri Jun 04 02:20:00 UTC 2021,37606,2712.85,,
